2019-12-03 12:03:29 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-12-03 12:03:29 INFO  SparkContext:54 - Running Spark version 2.3.1
2019-12-03 12:03:29 INFO  SparkContext:54 - Submitted application: K-means
2019-12-03 12:03:29 INFO  SecurityManager:54 - Changing view acls to: yifengzh_css534
2019-12-03 12:03:29 INFO  SecurityManager:54 - Changing modify acls to: yifengzh_css534
2019-12-03 12:03:29 INFO  SecurityManager:54 - Changing view acls groups to: 
2019-12-03 12:03:29 INFO  SecurityManager:54 - Changing modify acls groups to: 
2019-12-03 12:03:29 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(yifengzh_css534); groups with view permissions: Set(); users  with modify permissions: Set(yifengzh_css534); groups with modify permissions: Set()
2019-12-03 12:03:29 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 40014.
2019-12-03 12:03:29 INFO  SparkEnv:54 - Registering MapOutputTracker
2019-12-03 12:03:29 INFO  SparkEnv:54 - Registering BlockManagerMaster
2019-12-03 12:03:29 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2019-12-03 12:03:29 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2019-12-03 12:03:29 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-416d5331-163c-46bb-aa6c-5822ae3827b7
2019-12-03 12:03:29 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2019-12-03 12:03:29 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2019-12-03 12:03:29 INFO  log:192 - Logging initialized @6726ms
2019-12-03 12:03:30 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2019-12-03 12:03:30 INFO  Server:414 - Started @6805ms
2019-12-03 12:03:30 INFO  AbstractConnector:278 - Started ServerConnector@5c77053b{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2019-12-03 12:03:30 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5d8445d7{/jobs,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@499b2a5c{/jobs/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@596df867{/jobs/job,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@241a53ef{/jobs/job/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@344344fa{/stages,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2db2cd5{/stages/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@70e659aa{/stages/stage,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@73393584{/stages/stage/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@31500940{/stages/pool,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1827a871{/stages/pool/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@48e64352{/storage,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7249dadf{/storage/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4362d7df{/storage/rdd,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@66238be2{/storage/rdd/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1c25b8a7{/environment,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@200606de{/environment/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@750fe12e{/executors,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@f8908f6{/executors/json,null,AVAILABLE,@Spark}
